,Name,Source,AuraStrength,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,AL,Int,Wis,Cha,Ego,Communication,Senses,Powers,MagicItems,FullText,Destruction,MinorArtifactFlag,MajorArtifactFlag,Abjuration,Conjuration,Divination,Enchantment,Evocation,Necromancy,Transmutation,WeightValue,PriceValue,CostValue,Languages,BaseItem,LinkText,id,Mythic,LegendaryWeapon,Illusion,Universal,Scaling,IsIntelligentItem,Quantity
0,Campfire Bead,Ultimate Equipment,faint,faint evocation,1.0,none,720 gp,-,"This tiny glass bead transforms itself into a small (2-foot-tall) pile of burning logs whenever its command word is spoken. The fire burns for 8 hours or until extinguished, at which point it turns back into a bead. The owner of the item must wait twice as long as the fire burned before he can order the bead to become a campfire again.","Craft Wondrous Item, produce flame",360 gp,Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Campfire Bead</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint evocation; <b>CL </b>1st</h5><h5><b>Slot </b>none; <b>Price </b>720 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This tiny glass bead transforms itself into a small (2-foot-tall) pile of burning logs whenever its command word is spoken. The fire burns for 8 hours or until extinguished, at which point it turns back into a bead. The owner of the item must wait twice as long as the fire burned before he can order the bead to become a campfire again.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>produce flame</i>; <b>Cost </b>360 gp</h5></div>",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,720.0,360.0,,,NULL,2199.0,0.0,0.0,0.0,0.0,,0.0,1
1,Assisting Glove,APG,faint,faint transmutation,1.0,hands,180 gp,1 lb.,"The wearer of this simple glove can speak a command word to transform it into a glowing disembodied hand. As a swift action, the wearer can have the glove assist him with a task as if using the aid another action; the glove uses the wearer's base attack bonus or skill ranks when making the check to see if aid another is successful (it does not gain the benefit of the wearer's ability scores or other bonuses). The hand remains until it has attempted one action or until 1 minute passes, whichever comes first, at which time it becomes a nonmagical lambskin glove.","Craft Wondrous Item, mage hand, unseen servant",90 gp,Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Assisting Glove</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint transmutation; <b>CL </b>1st</h5><h5><b>Slot </b>hands; <b>Price </b>180 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>The wearer of this simple glove can speak a command word to transform it into a glowing disembodied hand. As a swift action, the wearer can have the glove assist him with a task as if using the aid another action; the glove uses the wearer's base attack bonus or skill ranks when making the check to see if aid another is successful (it does not gain the benefit of the wearer's ability scores or other bonuses). The hand remains until it has attempted one action or until 1 minute passes, whichever comes first, at which time it becomes a nonmagical lambskin glove.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>mage hand</i>, <i>unseen servant</i>; <b>Cost </b>90 gp</h5></div>",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,180.0,90.0,,,NULL,786.0,0.0,0.0,0.0,0.0,,0.0,1
2,Bonebreaker Bracers,Ultimate Equipment,faint,faint necromancy,5.0,wrists,"6,000 gp",2 lbs.,"These thick brass and leather bracers allow the wearer to tear through bone and muscle like paper. Once per day, as part of a melee attack, the wearer can activate the bracers to inflict a horrific injury on an opponent. If the attack hits, the target must make a DC 14 Will save. If the save fails, the bracers reduce the target's Strength, Dexterity, or Constitution (wearer's choice) by -6. This penalty cannot reduce the target's ability score below 1. The injury heals over time, reducing the penalty by 1 for each day that passes since the time of the injury, and is immediately removed by heal, regenerate, restoration, or any magic that can break a curse.","Craft Wondrous Item, bestow curse","3,000 gp",Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Bonebreaker Bracers</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint necromancy; <b>CL </b>5th</h5><h5><b>Slot </b>wrists; <b>Price </b>6,000 gp; <b>Weight </b>2 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>These thick brass and leather bracers allow the wearer to tear through bone and muscle like paper. Once per day, as part of a melee attack, the wearer can activate the bracers to inflict a horrific injury on an opponent. If the attack hits, the target must make a DC 14 Will save. If the save fails, the bracers reduce the target's Strength, Dexterity, or Constitution (wearer's choice) by -6. This penalty cannot reduce the target's ability score below 1. The injury heals over time, reducing the penalty by 1 for each day that passes since the time of the injury, and is immediately removed by <i>heal</i>, <i>regenerate</i>, <i>restoration</i>, or any magic that can break a curse.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>bestow curse</i>; <b>Cost </b>3,000 gp</h5></div>",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6000.0,3000.0,,,NULL,2112.0,0.0,0.0,0.0,0.0,,0.0,1
3,Headband Of Seduction,Ultimate Equipment,faint,faint enchantment and transmutation,5.0,headband,"40,000 gp",1 lb.,"This plain white band makes the wearer seem more attractive. The wearer gains a +2 competence bonus on Charisma-based checks with other members of his creature type. If the wearer is of the humanoid type, he gains a +5 competence bonus on creatures of his subtype instead. Once per day, the wearer can attempt to affect a creature as the spell unnatural lust (Ultimate Magic) but with a duration of 10 minutes.","Craft Wondrous Item, unnatural lust","20,000 gp",Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Headband Of Seduction</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint enchantment and transmutation; <b>CL </b>5th</h5><h5><b>Slot </b>headband; <b>Price </b>40,000 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This plain white band makes the wearer seem more attractive. The wearer gains a +2 competence bonus on Charisma-based checks with other members of his creature type. If the wearer is of the humanoid type, he gains a +5 competence bonus on creatures of his subtype instead. Once per day, the wearer can attempt to affect a creature as the spell <i>unnatural lust</i> (Ultimate Magic) but with a duration of 10 minutes.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>unnatural lust</i>; <b>Cost </b>20,000 gp</h5></div>",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,40000.0,20000.0,,,NULL,1973.0,0.0,0.0,0.0,0.0,,0.0,1
4,Serpent Belt,Ultimate Equipment,faint,faint transmutation,5.0,belt,"9,000 gp",1 lb.,"This belt's wearer gains a +4 bonus on saves against poisons and a +2 bonus on Escape Artist checks. In addition, once per day on command, the belt can be animated as a venomous snake or constrictor snake (Bestiary 255) that obeys the animator's spoken commands for up to an hour. If the animated snake is slain or moves 100 feet away from the animator, the snake reverts into belt form.","Craft Wondrous Item, beast form I, neutralize poison, summon nature's ally II","4,500 gp",Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Serpent Belt</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint transmutation; <b>CL </b>5th</h5><h5><b>Slot </b>belt; <b>Price </b>9,000 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This belt's wearer gains a +4 bonus on saves against poisons and a +2 bonus on Escape Artist checks. In addition, once per day on command, the belt can be animated as a venomous snake or constrictor snake (<i>Bestiary</i> 255) that obeys the animator's spoken commands for up to an hour. If the animated snake is slain or moves 100 feet away from the animator, the snake reverts into belt form.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>beast form I</i>, <i>neutralize poison</i>, <i>summon nature's ally II</i>; <b>Cost </b>4,500 gp</h5></div>",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9000.0,4500.0,,,NULL,1722.0,0.0,0.0,0.0,0.0,,0.0,1
5,Deathwatch Eyes,Ultimate Equipment,faint,faint necromancy,1.0,eyes,"2,000 gp",-,These blood red crystal lenses fit snugly over the wearer's eyes. The wearer gains the constant effects of the deathwatch spell.,"Craft Wondrous Item, deathwatch","1,000 gp",Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Deathwatch Eyes</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint necromancy; <b>CL </b>1st</h5><h5><b>Slot </b>eyes; <b>Price </b>2,000 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>These blood red crystal lenses fit snugly over the wearer's eyes. The wearer gains the constant effects of the <i>deathwatch</i> spell.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>deathwatch</i>; <b>Cost </b>1,000 gp</h5></div>",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2000.0,1000.0,,,NULL,1792.0,0.0,0.0,0.0,0.0,,0.0,1
6,Lute Of The Battle Ready,Advanced Class Guide,faint,faint transmutation,3.0,none,"2,000 gp",3 lbs.,"These magic items are usually crafted as lutes, though they can be fashioned as other instruments. On command three times per day, the lute can transform into a +1 spear, +1 longsword, or +1 battleaxe. The type of the weapon the instrument transforms into must be chosen at creation, and the weapon must be appropriately sized for the user of the instrument. The instrument takes weapon form for 1 minute, or until its wielder uses another command word to transform it back to its normal form.","Craft Wondrous Item, shillelagh","1,000 gp",Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Lute Of The Battle Ready</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint transmutation; <b>CL </b>3rd</h5><h5><b>Slot </b>none; <b>Price </b>2,000 gp; <b>Weight </b>3 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>These magic items are usually crafted as lutes, though they can be fashioned as other instruments. On command three times per day, the lute can transform into a <i>+1 spear</i>, <i>+1 longsword</i>, or <i>+1 battleaxe</i>. The type of the weapon the instrument transforms into must be chosen at creation, and the weapon must be appropriately sized for the user of the instrument. The instrument takes weapon form for 1 minute, or until its wielder uses another command word to transform it back to its normal form.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>shillelagh</i>; <b>Cost </b>1,000 gp</h5></div>",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2000.0,1000.0,,,NULL,3546.0,0.0,0.0,0.0,0.0,,0.0,1
7,Eyes Of The Eagle,Ultimate Equipment,faint,faint divination,3.0,eyes,"2,500 gp",-,These lenses are made of special crystal and fit over the eyes of the wearer. They grant a +5 competence bonus on Perception checks. Both lenses must be worn to gain the benefit. Wearing only one causes a character to become dizzy and stunned for 1 round.,"Craft Wondrous Item, clairaudience/clairvoyance","1,250 gp",Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Eyes Of The Eagle</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint divination; <b>CL </b>3rd</h5><h5><b>Slot </b>eyes; <b>Price </b>2,500 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>These lenses are made of special crystal and fit over the eyes of the wearer. They grant a +5 competence bonus on Perception checks. Both lenses must be worn to gain the benefit. Wearing only one causes a character to become dizzy and stunned for 1 round.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>clairaudience/clairvoyance</i>; <b>Cost </b>1,250 gp</h5></div>",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2500.0,1250.0,,,NULL,1798.0,0.0,0.0,0.0,0.0,,0.0,1
8,Pauldrons Of The Watchful Lion,Ultimate Equipment,faint,faint necromancy,5.0,shoulders,"10,800 gp",3 lbs.,"These steel and brass pauldrons feature two brass lion heads, one on each shoulder. Twice a day as an immediate action when a creature successfully makes an Acrobatics check to move through the wearer's threatened area or its space without provoking an attack of opportunity, a shadowy lion can animate from one of the pauldrons and attack that creature. The attack uses the wearer's base attack bonus + Dexterity modifier and attacks the target's touch AC. On a hit, the lion deals 2d6 points of piercing damage (x2 critical).","Craft Wondrous Item, Craft Magic Arms and Armor, spectral hand","5,400 gp",Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Pauldrons Of The Watchful Lion</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint necromancy; <b>CL </b>5th</h5><h5><b>Slot </b>shoulders; <b>Price </b>10,800 gp; <b>Weight </b>3 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>These steel and brass pauldrons feature two brass lion heads, one on each shoulder. Twice a day as an immediate action when a creature successfully makes an Acrobatics check to move through the wearer's threatened area or its space without provoking an attack of opportunity, a shadowy lion can animate from one of the pauldrons and attack that creature. The attack uses the wearer's base attack bonus + Dexterity modifier and attacks the target's touch AC. On a hit, the lion deals 2d6 points of piercing damage (x2 critical).</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, Craft Magic Arms and Armor, <i>spectral hand</i>; <b>Cost </b>5,400 gp</h5></div>",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10800.0,5400.0,,,NULL,2093.0,0.0,0.0,0.0,0.0,,0.0,1
9,Darksire Amulet,Advanced Race Guide,faint,faint abjuration,3.0,neck,"9,000 gp",1 lb.,"This small iron locket contains some token-a scale, a shaving of a horn or claw, or lock of burning hair-from a fiend. When worn by a tiefling, if he has cold, electricity, or fire resistance, this amulet increases that resistance by 5. Furthermore, it provides a +4 insight bonus on Diplomacy skill checks made to influence evil outsiders.","Craft Wondrous Item, resist energy, creator must be a tiefling, half-fiend, or true fiend","4,500 gp",Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Darksire Amulet</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint abjuration; <b>CL </b>3rd</h5><h5><b>Slot </b>neck; <b>Price </b>9,000 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This small iron locket contains some token-a scale, a shaving of a horn or claw, or lock of burning hair-from a fiend. When worn by a tiefling, if he has cold, electricity, or fire resistance, this amulet increases that resistance by 5. Furthermore, it provides a +4 insight bonus on Diplomacy skill checks made to influence evil outsiders.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>resist energy</i>, creator must be a tiefling, <i>half-fiend</i>, <i>or true fiend</i>; <b>Cost </b>4,500 gp</h5></div>",,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9000.0,4500.0,,,NULL,1164.0,0.0,0.0,0.0,0.0,,0.0,1
